,Name,Image,Page title (60 char),Site Keywords,Meta description (155 char),Google Search Preview,Product Description,Product Highlights,Additional Information,,,,,,,,,,,,,,,,,,,,
,AMP-80 0.80L Men Stylish Sports Bottle,,Sports Vacuum Bottle with Grip 0.8L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, hot flask, heat retention, vacuum bottle, peacock stainless steel sus 316 flask","The Peacock Sports Vacuum Bottle with Grip is built to last, made from SUS316 stainless steel and equipped a bottom gasket to protect it from damage.  ",,"Whether at home or on the go, this practical Peacock sports bottle is ideal for storing hot or cold drinks. Made from SUS316 stainless steel for durability, and equipped with an ice block drinking cap for your enjoyment. 


V2:
Slip the Peacock Sports Bottle with Grip into your hiking pack or cup holder for on the go refreshment. Vacuum insulated to keep hot or cold drinks, enjoy lasting quality with its durable SUS316 stainless steel build.","SUS316 stainless steel - Vacuum insulated and rust-resistant stainless steel inner bottle.

Silicone grip cover - Easily keep hold of your bottle in any situation.

Polypropylene ice block drinking cap - Blocks ice cubes from exiting the bottle for a pleasant drinking experience.

Scratch protection - Equipped with bottom gasket to protect the bottle from scratches.","Material: Vacuum insulated SUS316 stainless steel
Hot Retention (6HRS) : Above 71° C
Hot Retention (1HRS) : Above 88° C
Cold Retention (6HRS) : Below 9° C
Warranty: 5 years (T&C apply)","
- Stylish design cover stopper.",,,,,,,,,,,,,,,,,,,
Food Jar & Lunch Box,DKC-50 0.50L Stylish Food Jar,,Stylish Travel Food Jar 0.5L – Peacock Malaysia,"peacock food jar, heat retention, travel food jar, baby food jar, peacock stainless steel 316 food jar","Keep food fresh in the Peacock Travel Food Jar, made of SUS316 stainless steel and vacuum insulated to keep hot or cold for up to 6 hours.",,"Keep this travel food jar handy for takeways! Its excellent heat retention capabilities will preserve the flavour and freshness of your meals for up to 6 hours.


V2:
The stylish and minimalist Peacock Travel Food Jar will perfectly compliment the scrumptious aesthetic of your takeaway or home cooked meal. Vacuum insulated to lock in flavour and freshness for up to 6 hours.","SUS316 stainless steel - Vacuum insulated and rust-resistant stainless steel inner bottle.

Pressure release mechanism - Helps release pressure accumulated due to heat.

Detachable lid - Designed for easy, thorough cleaning.

Simple design - Built from less parts for increased durability.
","Material: Vacuum insulated SUS316 stainless steel
Hot Retention (6HRS) : Above 64° C
Hot Retention (1HRS) : Above 85° C
Cold Retention (6HRS) : Below 10° C
Warranty: 5 years (T&C apply)","*Renamed to DKC (DKC is maded by SUS316, LKC is 304)
- Simple design with less parts when compared with other brands° .
",,,,,,,,,,,,,,,,,,,
,LKD-30 0.30L Mini Food Jar,,Mini Travel Food Jar 0.3L – Peacock Malaysia,"peacock food jar, heat retention, travel food jar, baby food jar, peacock stainless steel 316 food jar","Ideal as a baby food jar, the Peacock Mini Travel Food Jar is made of high quality SUS316 stainless steel for your family's safety.",,"Practical and stylish, the Peacock Mini Food Jar is ideal to be used as a baby food jar, or to store fresh fruit and more! Made of high quality SUS316 stainless steel for safety and durability.


V2:
We've kept your family's safety in mind with the Peacock Mini Travel Food Jar. Made of rust-resistant, high quality SUS316 stainless steel, its perfect as a baby food jar or to store healthy snacks for the kids.","Detachable lid - Designed for easy, thorough cleaning.

SUS316 stainless steel - Made of rust-resistant, high quality stainless steel for your family's safety.

Compact design - Easy to carry and store.","Material: Vacuum insulated SUS316 stainless steel
Hot Retention (6HRS) : Above 55° C
Hot Retention (1HRS) : Above 83° C
Cold Retention (6HRS) : Below 12° C
Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
One Touch Vacuum Bottle,AKM-70,,Lightweight Vacuum Bottle 0.7L - Peacock Malaysia,"peacock one touch vacuum bottle, lightweight vacuum bottle, heat retention, peacock stainless steel sus 316 flask","The Peacock Lightweight Vacuum Bottle is easy to use one-handed, perfect for a quick drink. Made from high grade stainless steel for safety and durability.",,"Keep your coffee or tea piping hot and fresh with the Peacock Lightweight Vacuum Bottle. Made of vacuum insulated SUS316 stainless steel, its excellent heat retention capability will ensure you get the perfect sip every time.

V2:
Go green on your next coffee run with the Peacock Lightweight Vacuum Bottle. Designed with a higher capacity to fit more of your favourite drink, and made of industry-leading SUS316 stainless steel for durability.","Convenient to use - Lightweight, with an easy to clean stopper and gaskets.

SUS316 stainless steel - Durable and suitable for sports beverages.

Slide to open safety lock – Leak-proof and easy to operate one-handed.

Easy to drink - Improved mouth design allows more concentrated water flow for faster drinking.","Material: Vacuum insulated SUS316 stainless steel
Mouth diameter: 44mm 



Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
Sport Bottle,AJG-200,,High Capacity Sports Vacuum Bottle 2.0L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, high capacity bottle, rugged vacuum bottle, peacock stainless steel sus 316 flask",This super-high capacity Peacock Sports Bottle is ideal for all-day hydration. Keeps cold drinks perfectly chilled when travelling or during any activity.,,"The Peacock One Touch Sports Bottle is the perfect companion when going on a road trip, camping, or venturing out into the wilderness. This ultra-high capacity bottle is large enough to keep you going all day, and excellent as a cold flask for your favourite drinks. 

V2:
Keep cool while you brave the outdoors with the Peacock One Touch Sports Bottle. Its ultra-high capacity stores up to 2 liters of your favourite beverage, while keeping it icy cold for a refreshing drink wherever you are.","SUS316 stainless steel - Durable and suitable for sports beverages.

Excellent cold retention - Ideal for cold drinks only.

Easy to use - Stopper and gaskets are easy to clean, with an easy to drink mouth design and leak-proof safety lock.

Drop-proof - Equipped with detachable anti-shock silicone bottom cover to protect the bottle from fall damage.
","Material: Vacuum insulated SUS316 stainless steel

Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
Sport Bottle,AJC-F151P,,Sport Bottle with Pouch 1.5L – Peacock Malaysia,"peacock sports bottle, gym bottle, outdoor bottle, cold flask, keep cold, vacuum bottle, peacock stainless steel sus 304 flask",Keep your bottle protected while you stay hydrated with your favourite cold drink from the high capacity Peacock Sport Bottle with Pouch.  ,,"Worry no more about dents on your bottle with the Peacock Sports Bottle with Pouch. It securely holds up to 1.5L of water or your favourite cold beverage, and is equipped with a sporty pouch with a strap for easy carrying.

V2:
The Peacock Sports Bottle with Pouch is the ideal vacuum bottle for school, gym, or any outdoor adventure. This cold flask will keep your water or sports drink refreshingly cold while you easily enjoy it one-handed with the ""slide to lock"" feature.","Excellent cold retention - Ideal for cold drinks only.

With shoulder belt pouch - For protection from damage and easy carrying.

Slide to lock - Easy to open and drink one-handed.
","Material: Vacuum insulated SUS304 stainless steel

Warranty: 5 years (T&C apply)",,,,,,,,,,,,,,,,,,,,
,"Additional notes:
- Consider standardising format of Description section - some are text only, some are single column pics + text, some double column pics + text
- Suggest to consolidate same design bottles (i.e.AMP-80, AMP-100) into single SKU, with size selector.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
